year,global_av_temp,minneapolis_av_temp,global_smoothed_temp,minneapolis_smoothed_temp
1805,8.56,5.39,8.3995000000000000,5.0770000000000000
1806,8.43,5.05,8.4080000000000000,5.0925000000000000
1807,8.28,4.84,8.4205000000000000,5.0950000000000000
1808,7.63,4.63,8.3795000000000000,5.0685000000000000
1809,7.08,3.79,8.3170000000000000,5.0105000000000000
1810,6.92,3.86,8.2640000000000000,4.9620000000000000
1811,6.86,4.04,8.1955000000000000,4.9090000000000000
1812,7.05,3.17,8.1435000000000000,4.8350000000000000
1813,7.74,4.70,8.1190000000000000,4.8195000000000000
1814,7.59,4.64,8.0720000000000000,4.7930000000000000
1815,7.24,3.75,8.0165000000000000,4.7300000000000000
1816,6.94,3.02,7.9500000000000000,4.6300000000000000
1817,6.98,3.51,7.8735000000000000,4.5740000000000000
1818,7.83,4.71,7.8315000000000000,4.5425000000000000
1819,7.37,3.87,7.7745000000000000,4.4805000000000000
1820,7.62,3.49,7.7315000000000000,4.4020000000000000
1821,8.09,4.07,7.7065000000000000,4.3360000000000000
1822,8.19,4.38,7.6870000000000000,4.2790000000000000
1823,7.72,4.01,7.6480000000000000,4.2145000000000000
1824,8.55,4.21,7.6335000000000000,4.1565000000000000
1825,8.39,5.80,7.6250000000000000,4.1770000000000000
1826,8.36,4.68,7.6215000000000000,4.1585000000000000
1827,8.81,5.49,7.6480000000000000,4.1910000000000000
1828,8.17,5.34,7.6750000000000000,4.2265000000000000
1829,7.94,4.78,7.7180000000000000,4.2760000000000000
1830,8.52,6.14,7.7980000000000000,4.3900000000000000
1831,7.64,3.83,7.8370000000000000,4.3795000000000000
1832,7.45,5.11,7.8570000000000000,4.4765000000000000
1833,8.01,5.91,7.8705000000000000,4.5370000000000000
1834,8.15,5.89,7.8985000000000000,4.5995000000000000
1835,7.39,3.91,7.9060000000000000,4.6075000000000000
1836,7.70,3.78,7.9440000000000000,4.6455000000000000
1837,7.38,4.38,7.9640000000000000,4.6890000000000000
1838,7.51,3.33,7.9480000000000000,4.6200000000000000
1839,7.63,5.77,7.9610000000000000,4.7150000000000000
1840,7.80,4.86,7.9700000000000000,4.7835000000000000
1841,7.69,4.71,7.9500000000000000,4.8155000000000000
1842,8.02,4.80,7.9415000000000000,4.8365000000000000
1843,8.17,3.33,7.9640000000000000,4.8025000000000000
1844,7.65,4.29,7.9190000000000000,4.8065000000000000
1845,7.85,5.54,7.8920000000000000,4.7935000000000000
1846,8.55,6.89,7.9015000000000000,4.9040000000000000
1847,8.09,4.02,7.8655000000000000,4.8305000000000000
1848,7.98,4.29,7.8560000000000000,4.7780000000000000
1849,7.98,3.97,7.8580000000000000,4.7375000000000000
1850,7.90,4.85,7.8270000000000000,4.6730000000000000
1851,8.18,5.63,7.8540000000000000,4.7630000000000000
1852,8.10,4.91,7.8865000000000000,4.7530000000000000
1853,8.04,4.39,7.8880000000000000,4.6770000000000000
1854,8.21,5.49,7.8910000000000000,4.6570000000000000
1855,8.11,4.30,7.9270000000000000,4.6765000000000000
1856,8.00,3.81,7.9420000000000000,4.6780000000000000
1857,7.76,3.70,7.9610000000000000,4.6440000000000000
1858,8.10,5.45,7.9905000000000000,4.7500000000000000
1859,8.25,3.49,8.0215000000000000,4.6360000000000000
1860,7.96,4.43,8.0295000000000000,4.6145000000000000
1861,7.85,3.99,8.0375000000000000,4.5785000000000000
1862,7.56,3.21,8.0145000000000000,4.4990000000000000
1863,8.11,4.21,8.0115000000000000,4.5430000000000000
1864,7.98,4.16,8.0280000000000000,4.5365000000000000
1865,8.18,4.63,8.0445000000000000,4.4910000000000000
1866,8.29,3.32,8.0315000000000000,4.3125000000000000
1867,8.44,3.24,8.0490000000000000,4.2735000000000000
1868,8.25,3.64,8.0625000000000000,4.2410000000000000
1869,8.43,3.68,8.0850000000000000,4.2265000000000000
1870,8.20,5.54,8.1000000000000000,4.2610000000000000
1871,8.12,4.53,8.0970000000000000,4.2060000000000000
1872,8.19,3.74,8.1015000000000000,4.1475000000000000
1873,8.35,3.56,8.1170000000000000,4.1060000000000000
1874,8.43,4.62,8.1280000000000000,4.0625000000000000
1875,7.86,2.18,8.1155000000000000,3.9565000000000000
1876,8.08,3.71,8.1195000000000000,3.9515000000000000
1877,8.54,5.95,8.1585000000000000,4.0640000000000000
1878,8.83,7.20,8.1950000000000000,4.1515000000000000
1879,8.17,4.92,8.1910000000000000,4.2230000000000000
1880,8.12,4.41,8.1990000000000000,4.2220000000000000
1881,8.27,4.75,8.2200000000000000,4.2600000000000000
1882,8.13,5.14,8.2485000000000000,4.3565000000000000
1883,7.98,2.69,8.2420000000000000,4.2805000000000000
1884,7.77,3.59,8.2315000000000000,4.2520000000000000
1885,7.92,3.43,8.2185000000000000,4.1920000000000000
1886,7.95,4.07,8.2015000000000000,4.2295000000000000
1887,7.91,3.69,8.1750000000000000,4.2520000000000000
1888,8.09,3.14,8.1670000000000000,4.2270000000000000
1889,8.32,5.34,8.1615000000000000,4.3100000000000000
1890,7.97,4.59,8.1500000000000000,4.2625000000000000
1891,8.02,5.16,8.1450000000000000,4.2940000000000000
1892,8.07,4.34,8.1390000000000000,4.3240000000000000
1893,8.06,3.50,8.1245000000000000,4.3210000000000000
1894,8.16,6.10,8.1110000000000000,4.3950000000000000
1895,8.15,4.65,8.1255000000000000,4.5185000000000000
1896,8.21,4.63,8.1320000000000000,4.5645000000000000
1897,8.29,4.59,8.1195000000000000,4.4965000000000000
1898,8.18,5.30,8.0870000000000000,4.4015000000000000
1899,8.40,4.54,8.0985000000000000,4.3825000000000000
1900,8.50,6.00,8.1175000000000000,4.4620000000000000
1901,8.54,5.27,8.1310000000000000,4.4880000000000000
1902,8.30,5.25,8.1395000000000000,4.4935000000000000
1903,8.22,4.05,8.1515000000000000,4.5615000000000000
1904,8.09,3.68,8.1675000000000000,4.5660000000000000
1905,8.23,4.73,8.1830000000000000,4.6310000000000000
1906,8.38,5.25,8.2045000000000000,4.6900000000000000
